year,China,US,India,Russia,Japan,UK
1850,0.0000,19792928.0000,0.0000,69299.0000,0.0000,122604768.0000
1851,0.0000,24633072.0000,0.0000,0.0000,0.0000,116654432.0000
1852,0.0000,26791168.0000,0.0000,0.0000,0.0000,116240400.0000
1853,0.0000,30162048.0000,0.0000,0.0000,0.0000,115599200.0000
1854,0.0000,33159200.0000,0.0000,0.0000,0.0000,139301616.0000
1855,0.0000,38160560.0000,0.0000,210133.0000,0.0000,130442064.0000
1856,0.0000,40036528.0000,0.0000,0.0000,0.0000,140375168.0000
1857,0.0000,41055120.0000,0.0000,0.0000,0.0000,137861664.0000
1858,0.0000,41648688.0000,395050.0000,295080.0000,0.0000,135113664.0000
1859,0.0000,45320016.0000,637391.0000,312964.0000,0.0000,150011488.0000
1860,0.0000,47437808.0000,644031.0000,413560.0000,0.0000,167950432.0000
1861,0.0000,45679088.0000,497962.0000,525332.0000,0.0000,175047600.0000
1862,0.0000,47448800.0000,551078.0000,473917.0000,0.0000,169470992.0000
1863,0.0000,54809776.0000,610834.0000,496272.0000,0.0000,180224832.0000
1864,0.0000,58656976.0000,577636.0000,556629.0000,0.0000,193909872.0000
1865,0.0000,58821856.0000,567677.0000,532039.0000,0.0000,205488112.0000
1866,0.0000,59232224.0000,640711.0000,1681064.0000,0.0000,211731568.0000
1867,0.0000,72865968.0000,0.0000,1929200.0000,0.0000,217374128.0000
1868,0.0000,82352064.0000,0.0000,1605058.0000,10992.0000,213219152.0000
1869,0.0000,93695808.0000,0.0000,2177335.0000,18320.0000,223705520.0000
1870,0.0000,98620224.0000,0.0000,2362878.0000,18320.0000,228494368.0000
1871,0.0000,103020688.0000,0.0000,3189997.0000,25648.0000,242036512.0000
1872,0.0000,126305408.0000,0.0000,3274945.0000,32976.0000,254988752.0000
1873,0.0000,139506800.0000,0.0000,3073754.0000,40304.0000,264658048.0000
1874,0.0000,134296592.0000,0.0000,3730978.0000,586240.0000,257187152.0000
1875,0.0000,135747536.0000,0.0000,4294313.0000,1439952.0000,271487744.0000
1876,0.0000,132820000.0000,0.0000,5331565.0000,1403312.0000,271018752.0000
1877,0.0000,147175552.0000,0.0000,5441103.0000,1289728.0000,275899200.0000
1878,0.0000,143903600.0000,1769425.0000,7110989.0000,1857648.0000,270974784.0000
1879,0.0000,175468960.0000,1686677.0000,7296532.0000,2315648.0000,272645568.0000
1880,0.0000,198684235.0000,1889305.0000,8559566.0000,2348624.0000,297124752.0000
1881,0.0000,210192895.0000,1841812.0000,9015599.0000,2414576.0000,312312032.0000
1882,0.0000,235393949.0000,2199098.0000,9496222.0000,2513504.0000,314964768.0000
1883,0.0000,253882570.0000,2444169.0000,10808436.0000,2711360.0000,327730144.0000
1884,0.0000,267589578.0000,2733479.0000,10973860.0000,2956848.0000,319097760.0000
1885,0.0000,272162263.0000,2462612.0000,11952990.0000,3348896.0000,315290864.0000
1886,0.0000,287463156.0000,2775504.0000,12259247.0000,3605376.0000,312429280.0000
1887,0.0000,307380841.0000,3069893.0000,12972358.0000,4473744.0000,320442448.0000
1888,0.0000,373875097.0000,3413789.0000,13531223.0000,5169904.0000,333167520.0000
1889,0.0000,335542370.0000,4026654.0000,14613184.0000,6254448.0000,345024224.0000
1890,0.0000,401747269.0000,4437048.0000,16549090.0000,6756416.0000,353022736.0000
1891,0.0000,427424599.0000,4778195.0000,18221212.0000,8123088.0000,360471648.0000
1892,0.0000,450449220.0000,5253581.0000,19287525.0000,8075456.0000,353008080.0000
1893,0.0000,454094837.0000,5549542.0000,22607179.0000,8573760.0000,316210528.0000
1894,0.0000,425050339.0000,5623698.0000,23025209.0000,11024976.0000,362102128.0000
1895,0.0000,479948081.0000,7043481.0000,26456636.0000,12226768.0000,365549952.0000
1896,0.0000,480882466.0000,7617575.0000,26932789.0000,12915600.0000,375981360.0000
1897,0.0000,500287132.0000,8263460.0000,31139919.0000,13542144.0000,385969424.0000
1898,0.0000,545321449.0000,9136615.0000,34924548.0000,17246448.0000,386878096.0000
1899,95264.0000,625534018.0000,10067116.0000,40515427.0000,17272096.0000,414552288.0000
1900,0.0000,662738378.0000,11944740.0000,45896172.0000,19411872.0000,419740512.0000
1901,0.0000,721527528.0000,13196136.0000,47118968.0000,23273728.0000,410701424.0000
1902,95264.0000,764495745.0000,14533836.0000,45509438.0000,24944512.0000,426639824.0000
1903,1963904.0000,894406917.0000,14820573.0000,44516895.0000,25787232.0000,429985056.0000
1904,2088480.0000,882057522.0000,16581390.0000,49528790.0000,29051856.0000,431992928.0000
1905,2297328.0000,986482421.0000,16951603.0000,44210638.0000,29931216.0000,437672128.0000
1906,17110880.0000,1035471220.0000,19573686.0000,50427444.0000,32855088.0000,453350384.0000
1907,16839744.0000,1203861393.0000,21800057.0000,56483298.0000,35071808.0000,473568336.0000
1908,22731456.0000,1052812866.0000,24939921.0000,56829794.0000,37632944.0000,461964448.0000
1909,20837168.0000,1165706090.0000,24172097.0000,59990730.0000,38255824.0000,466086448.0000
1910,18748688.0000,1271582032.0000,23517201.0000,58832763.0000,39384336.0000,469732128.0000
1911,27846400.0000,1258666523.0000,24813992.0000,60996686.0000,44209824.0000,481350672.0000
1912,9786544.0000,1343565478.0000,28557928.0000,69095748.0000,49280800.0000,455885872.0000
1913,10757504.0000,1442542037.0000,31506969.0000,75059947.0000,54315136.0000,498322320.0000
1914,15106672.0000,1317980205.0000,31738989.0000,67743296.0000,58015776.0000,483182672.0000
1915,16088624.0000,1367696953.0000,33184154.0000,62179243.0000,52842208.0000,489481088.0000
1916,17964592.0000,1518980631.0000,33560310.0000,66272365.0000,58598352.0000,507071952.0000
1917,19851552.0000,1670970570.0000,35064951.0000,60992215.0000,67483552.0000,501169248.0000
1918,21042352.0000,1747718076.0000,39410722.0000,24324010.0000,71543264.0000,466848560.0000
1919,24255680.0000,1479158809.0000,43030891.0000,20776340.0000,79193696.0000,456131360.0000
1920,26769184.0000,1738245691.0000,34912536.0000,18945500.0000,74280272.0000,470750720.0000
1921,25288928.0000,1423668567.0000,37553406.0000,20546087.0000,66809376.0000,319804912.0000
1922,26633616.0000,1435758240.0000,36950533.0000,25057240.0000,71429680.0000,428222672.0000
1923,32151600.0000,1896735721.0000,38020655.0000,27679431.0000,75907088.0000,454892928.0000
1924,35093792.0000,1698320191.0000,40680490.0000,32977465.0000,79347584.0000,475982912.0000
1925,33221488.0000,1758097952.0000,40136781.0000,32548257.0000,82011312.0000,449657072.0000
1926,29590464.0000,1905959151.0000,39994677.0000,47159206.0000,82604880.0000,246371024.0000
1927,33525600.0000,1862746373.0000,41938573.0000,58631572.0000,89482208.0000,466734976.0000
1928,34107659.0000,1830870050.0000,40128884.0000,65135431.0000,92390568.0000,437639702.0000
1929,35804175.0000,1963413966.0000,41765975.0000,70145517.0000,94880335.0000,460673784.0000
1930,37907915.0000,1744828375.0000,42458548.0000,95357045.0000,86165789.0000,441073652.0000
1931,40240718.0000,1484892625.0000,38904895.0000,114558820.0000,77904004.0000,412212451.0000
1932,38584548.0000,1257773137.0000,36179469.0000,129074876.0000,77980502.0000,395899711.0000
1933,42194279.0000,1348842461.0000,35516433.0000,144254529.0000,91342495.0000,392154509.0000
1934,49254158.0000,1436196202.0000,39665751.0000,174493540.0000,101202823.0000,423203640.0000
1935,57596609.0000,1492279833.0000,41450301.0000,197516978.0000,106382481.0000,429106888.0000
1936,64955167.0000,1713350470.0000,40740574.0000,226491019.0000,116849074.0000,453795969.0000
1937,60490599.0000,1792546073.0000,45129396.0000,231596499.0000,125430964.0000,468130764.0000
1938,55302605.0000,1515692978.0000,50449974.0000,244438914.0000,131735124.0000,448939989.0000
1939,67113397.0000,1670854053.0000,49381121.0000,247436808.0000,127746841.0000,452456368.0000
1940,86046622.0000,1874914031.0000,52382436.0000,296643936.0000,153244280.0000,475143856.0000
1941,107517569.0000,2043495546.0000,53654198.0000,260609224.0000,154604564.0000,469651502.0000
1942,113740632.0000,2198165988.0000,53602556.0000,141681044.0000,147791833.0000,468899907.0000
1943,97178706.0000,2271984950.0000,46707719.0000,147866554.0000,150637473.0000,454820343.0000
1944,97768868.0000,2444854078.0000,47760808.0000,214433999.0000,138732713.0000,442024559.0000
1945,50347067.0000,2359495386.0000,52946397.0000,227022026.0000,76635163.0000,417624399.0000
1946,31259005.0000,2257403592.0000,52296688.0000,255132711.0000,52706560.0000,436128220.0000
1947,33553489.0000,2485751989.0000,53253886.0000,307220637.0000,70032368.0000,461269014.0000
