year,China,US,India,Russia,Japan,World,UK
1990,1.9717,19.9579,0.6618,13.8294,10.6181,4.2702,11.6991
1991,2.0121,19.4435,0.6724,14.0207,10.7313,4.2920,11.7999
1992,2.1356,19.9794,0.7133,5.3341,11.3963,4.1044,12.0424
1993,2.2625,20.0141,0.7052,7.5519,11.1321,4.0855,11.4071
1994,2.2334,20.1927,0.7269,7.9527,11.6642,4.0551,11.2701
1995,2.4101,20.2006,0.7492,7.9027,11.8888,4.0831,11.1639
1996,2.4934,20.5954,0.7841,8.4786,11.7913,4.1469,11.6450
1997,2.4197,20.7284,0.8047,7.9708,11.5685,4.1152,11.5483
1998,2.3238,21.0616,0.8066,7.1443,10.7955,4.0446,11.9300
1999,2.3354,21.4015,0.8727,6.8722,11.4540,4.0432,11.6706
2000,2.3567,22.2068,0.8490,6.8321,12.0112,4.1073,11.8101
2001,2.4525,21.6570,0.8567,7.6935,11.6385,4.0899,11.9165
2002,2.6193,21.8800,0.8600,7.7687,11.7129,4.1319,11.7624
2003,2.9127,22.0152,0.8910,8.2920,11.8124,4.2885,11.9814
2004,3.2684,22.4396,0.9331,8.4132,11.7745,4.4305,12.2942
2005,3.5724,22.3607,0.9549,8.6011,11.8856,4.5249,12.0529
2006,3.7749,22.1494,1.0124,8.7436,11.6893,4.6172,12.1980
2007,4.0724,22.0180,1.0796,9.2666,11.8068,4.6962,12.1935
2008,4.4172,20.8017,1.1359,9.3856,11.5691,4.7235,11.4361
2009,4.9436,18.9205,1.2644,8.9201,10.6036,4.5987,10.4523
2010,5.3315,19.4108,1.2871,9.4007,11.1371,4.7927,10.7559
2011,5.8579,19.0719,1.3309,9.8873,11.8584,4.8950,9.8443
2012,6.0448,18.1959,1.4397,10.2390,12.1456,4.9079,9.9383
2013,6.1781,18.3237,1.4276,9.9544,11.8206,4.8930,9.5008
2014,6.2149,18.2731,1.5292,9.8088,11.3009,4.8707,9.0281
2015,6.1702,17.7628,1.5862,9.5764,10.8172,4.8097,8.6756
2016,6.1528,17.2645,1.6448,9.7680,10.6820,4.7496,8.1978
2017,6.2551,17.0748,1.6757,9.9135,10.5729,4.7595,8.0465
2018,6.5038,17.5074,1.7472,9.7076,10.3800,4.8022,8.0346
2019,6.5860,17.0963,1.7641,9.8216,10.1534,4.7582,7.7106
